Key,SourceString
"addadmin","添加管理员"
"addadminToolTip","授予玩家管理员权限。"
"addbots","添加机器人"
"addbotsToolTip","添加指定数量的机器人到匹配的队伍ID（255为随机）。"
"admin","管理面板"
"adminToolTip","打开管理面板以获取更多高级命令和设置。"
"ban","封禁"
"banToolTip","以可选原因临时或永久封禁玩家。"
"changeelement","更改队伍元素"
"changeelementToolTip","更改指定玩家的队伍元素。例如：changeelement Bob <Bravo / B>"
"changemap","更换地图"
"changemapToolTip","更换到指定地图。"
"editadminlist","管理员列表"
"editadminlistToolTip","添加、移除或编辑管理员权限。"
"editkitrestrictions","装备限制"
"editkitrestrictionsToolTip","添加、移除或编辑装备限制。"
"editmaplist","地图列表"
"editmaplistoolTip","远程创建或编辑地图列表。"
"editmodlist","模组列表"
"editmodlistToolTip","远程创建或编辑模组列表。"
"editserversettings","服务器设置"
"editserversettingsToolTip","远程编辑服务器名称、每日消息等。"
"editwhitelist","白名单"
"editwhitelistToolTip","添加、移除或编辑白名单。"
"endround","结束回合"
"endroundToolTip","如果回合正在进行中则结束回合。"
"freezeai","冻结AI"
"freezeaiToolTip","冻结地图中所有非Bot的AI。"
"freezebots","冻结机器人"
"freezebotsToolTip","冻结所有匹配队伍ID的机器人（255为所有队伍）。"
"gamerules","游戏规则"
"gamerulesToolTip","打开游戏规则面板以获取更多高级命令和设置。"
"kick","踢出"
"kickToolTip","以可选原因将玩家踢出服务器。"
"kill","击杀"
"killToolTip","击杀玩家。"
"killai","击杀AI"
"killaiToolTip","击杀地图中的非Bot AI。"
"killbots","击杀机器人"
"killbotsToolTip","击杀所有匹配队伍ID的机器人（255为所有队伍）。"
"motd","每日消息"
"motdToolTip","向所有玩家显示每日消息。"
"mute","静音"
"muteToolTip","禁用该玩家的语音通话。"
"nextmap","下一张地图"
"nextmapToolTip","切换到地图列表中的下一张地图（如果已定义）。"
"randomiseobjectives","随机化目标"
"randomiseobjectivesToolTip","请求游戏模式重新随机出生点和目标。"
"reloadmissionscriptToolTip","重新加载当前任务指向的Lua脚本。"
"removeadmin","移除管理员"
"removeadminToolTip","移除玩家的管理员权限。"
"removebots","移除机器人"
"removebotsToolTip","移除指定数量的匹配队伍ID的机器人（255为所有队伍）。"
"res","复活"
"resToolTip","在死亡位置复活一名已死亡的玩家。"
"resatme","在我处复活"
"resatmeToolTip","在施法者位置复活一名已死亡的玩家。"
"resetactors","重置角色"
"resetactorsToolTip","对所有角色调用重置功能。重新补充存活玩家的弹药袋和枪械。"
"resnear","在附近复活"
"resnearToolTip","在最近的存活玩家处复活一名已死亡的玩家。"
"restartround","重新开始回合"
"restartroundToolTip","如果回合正在进行中则重新开始回合。"
"restartserver","重启服务器"
"restartserverToolTip","重启（立即关闭）服务器。"
"resurrect","复活"
"resurrectToolTip","在死亡位置复活一名已死亡的玩家。"
"resurrectatme","在我处复活"
"resurrectatmeToolTip","在施法者位置复活一名已死亡的玩家。"
"resurrectnear","在附近复活"
"resurrectnearToolTip","在最近的存活玩家处复活一名已死亡的玩家。"
"say","发言"
"sayToolTip","向服务器上的所有人发送消息。"
"serverexecute","服务器执行"
"serverexecuteToolTip","在服务器上执行控制台命令。"
"setadmincontactinfo","设置管理员联系信息"
"setadmincontactinfoToolTip","设置玩家的管理员联系信息。"
"setadmingroup","设置管理员组"
"setadmingroupToolTip","设置玩家的管理员组。"
"startround","开始回合"
"startroundToolTip","如果回合尚未开始则开始回合。"
"superkick","超级踢出"
"superkickToolTip","以可选原因踢出任何玩家（包括管理员）从服务器。"
"toplayarea","前往游戏区域"
"toplayareaToolTip","将准备室中的玩家发送到游戏区域。"
"toreadyroom","前往准备室"
"toreadyroomToolTip","将游戏区域中的玩家发送到准备室。"
"unban","解封"
"unbanToolTip","根据玩家的唯一游戏ID将玩家从封禁列表中移除。"
"unfreezeai","解冻AI"
"unfreezeaiToolTip","解冻地图中所有非Bot的AI。"
"unfreezebots","解冻机器人"
"unfreezebotsToolTip","解冻所有匹配队伍ID的机器人（255为所有队伍）。"
"updatesettings","任务设置"
"updatesettingsToolTip","编辑任务设置和游戏规则。"
"pausemaplist","暂停地图列表"
"pausemaplistToolTip","禁用地图列表，直到取消暂停或所有管理员离开。"
"unpausemaplist","取消暂停地图列表"
"unpausemaplistToolTip","如果之前已暂停，则启用地图列表。"
