Key,SourceString
"AutoSwapTeamName","自动交换队伍"
"AutoSwapTeamRoleName","自动交换角色"
"BombCountName","炸弹数量"
"BombCountValue","{0} {0}|plural(one=枚炸弹,other=枚炸弹)"
"CaptureRadiusName","占领半径"
"CaptureRadiusValue","{0} {0}|plural(one=米,other=米)"
"DateName","日期"
"DefuseTimeName","拆弹时间"
"DefuseTimeValue","{0} {0}|plural(one=秒,other=秒)"
"EnemyExperienceCustom","自定义"
"EnemyExperienceExperienced","经验丰富"
"EnemyExperienceName","敌人经验"
"EnemyExperienceTrained","训练有素"
"EnemyExperienceUntrained","未经训练"
"EnemyExperienceVeteran","老兵"
"FragLimitName","击杀上限"
"FragLimitReached","击杀上限已达到"
"FragLimitValue","{0} {0}|plural(zero=无限制,one=击杀,other=击杀)"
"HotSpotsName","敌人热点区域"
"LaptopCaptureTime","笔记本电脑捕获时间"
"MinPlayersName","最少玩家数开始"
"MinPlayersPerTeamName","每队最少玩家数"
"MoonFirstQuarter","上弦月"
"MoonFull","满月"
"MoonNew","新月"
"MoonPhaseName","月相"
"MoonThirdQuarter","下弦月"
"MoonWaningCrescent","残月"
"MoonWaningGibbous","亏凸月"
"MoonWaxingCrescent","蛾眉月"
"MoonWaxingGibbous","盈凸月"
"OpForCountName","预期敌人数"
"OpForCountValue","{0} {0}|plural(one=敌人,other=敌人)"
"RandomiseOpForCountName","随机化敌人数"
"RandomiseOpForCountValue","±{0} {0}|plural(one=敌人,other=敌人)"
"RandomizeObjectiveName","重新洗牌地点"
"RoundLimitName","回合上限"
"RoundTimeName","回合时间限制"
"RoundTimeValue","{0} {0}|plural(zero=无限制,one=分钟,other=分钟)"
"SearchLocationsName","搜索区域"
"SearchLocationsValue","{0} {0}|plural(one=地点,other=地点)"
"SetupTime","准备时间"
"ShowKillsName","显示击杀"
"ShowRemainingName","显示剩余威胁"
"ShowRemainingValue","{0} {0}|plural(zero=禁用,one=敌人,other=敌人)"
"TeamExfilName","全队一起撤离"
"TeamFragLimitName","队伍击杀上限"
"TimeLimitName","时间限制"
"TimeLimitReached","时间限制已达到"
"TimeLimitValue","{0} {0}|plural(zero=无限制,one=分钟,other=分钟)"
"TimeOfDayName","插入时间"
