Key,SourceString
"AllowCheats","允许作弊"
"AllowCheatsToolTip","允许所有连接到服务器的玩家使用作弊，例如 'God'、'NoTarget'、'Ghost' 等。"
"AllowDeadChat","允许死亡聊天"
"AllowDeadChatToolTip","允许已死亡或类似的玩家与存活玩家进行文字聊天。"
"AllowEnemyNPCMinimapBlips","允许敌人NPC小地图标记"
"AllowEnemyNPCMinimapBlipsToolTip","允许敌方AI在小地图上显示为标记点。"
"AllowUnrestrictedRadio","允许无限制无线电"
"AllowUnrestrictedRadioToolTip","使用无线电时忽略队伍限制，即允许跨队伍通信。"
"AllowUnrestrictedVoice","允许无限制语音"
"AllowUnrestrictedVoiceToolTip","聊天时忽略存活状态，允许死亡玩家与存活玩家交谈等。"
"BalanceTeams","平衡队伍"
"BalanceTeamsToolTip","阻止游戏开始直到队伍平衡。"
"RestrictFiringRange","限制射击场"
"RestrictFiringRangeToolTip","关闭准备室射击场的门。"
"SpectateEnemies","旁观敌人"
"SpectateEnemiesToolTip","允许玩家旁观敌方玩家。"
"SpectateForceFirstPerson","旁观强制第一人称"
"SpectateForceFirstPersonToolTip","强制旁观者以第一人称模式跟随其他玩家。"
"SpectateFreeCam","旁观自由视角"
"SpectateFreeCamToolTip","控制旁观者是否可以自由飞行。"
"UseFriendlyNameTags","使用友军名称标签"
"UseFriendlyNameTagsToolTip","允许在HUD上显示友军玩家的名称标签。"
"UseGlobalSkinRestrictions","使用全局皮肤限制"
"GameRulesTitle","游戏规则"
"SubmittingGameRules","正在提交游戏规则..."
"RequestingGameRules","正在请求游戏规则..."
