"Key","SourceString"
"InvItem.UI.Category.Accessory.Support","握把与支撑"
"InvItem.UI.Category.Accessory.Illumination","照明"
"InvItem.UI.Category.Accessory.RailsAndMounts","导轨与安装座"
"InvItem.UI.Category.Accessory.MuzzleDevice","消音"
"InvItem.UI.Category.Firearm.AssaultRifle","突击步枪"
"InvItem.UI.Category.Firearm.BattleRifle","战斗步枪"
"InvItem.UI.Category.Firearm.DesignatedMarksmanRifle","精确射击步枪"
"InvItem.UI.Category.Firearm.MachineGun","机枪"
"InvItem.UI.Category.Firearm.Shotgun","猎枪"
"InvItem.UI.Category.Firearm.SubmachineGun","冲锋枪"
"InvItem.UI.Category.HeadGear.Hat","软帽"
"InvItem.UI.Category.HeadGear.Helmet","头盔"
"InvItem.UI.Category.HeadGear.Other","其他"
"InvItem.UI.Category.IFF","友军识别"
"InvItem.UI.Category.Magazine","弹盒"
"InvItem.UI.Category.NVG","夜视仪"
"InvItem.UI.Category.Pouch.Ammo","弹药"
"InvItem.UI.Category.Pouch.Ammo.Modular","模块化"
"InvItem.UI.Category.Pouch.Ammo.Specific","特定"
"InvItem.UI.Category.Bullet","子弹"
"InvItem.UI.Category.Pouch.Equipment","装备"
"InvItem.UI.Category.Pouch.Grenade","手榴弹"
"InvItem.UI.Category.Shirt.LongSleeve","长袖"
"InvItem.UI.Category.Shirt.Rolled","卷袖"
"InvItem.UI.Category.Shirt.ShortSleeve","短袖"
"InvItem.UI.Category.Shirt.Tucked","堵入"
"InvItem.UI.Category.Sight.Accessory","描准具|配件"
"InvItem.UI.Category.Sight.IronSight","描准具|铁描准"
"InvItem.UI.Category.Sight.RedDot","描准具|红点"
"InvItem.UI.Category.Sight.Scope","描准具|射击镜"
"All","全部"
"InvItem.UI.Category.Firearm.Suppressed","消音"
"InvItem.UI.Category.Armour","防弹插板"
