"Key","SourceString"
"NVGMaster","AN/PVS-15"
"ANPVS31aNVGGP","AN/PVS-31A (绿磷)"
"ANPVS31aNVGWP","AN/PVS-31A (白磷)"
"ANPVS7GP","AN/PVS-7 (绿磷)"
"MP5HandguardLight","战术灯护木 (MP5)"
"GPNVGGP","GPNVG-18 (绿磷)"
"GPNVGWP","GPNVG-18 (白磷)"
"MP5Handguard","护木 (MP5)"
"ComTac","耳机"
"IRStrobeMaster","红外频闪灯"
"IRStrobe","红外频闪灯 (Manta)"
"Ms2000IRStrobe","红外频闪灯 (MS2000)"
"M1014BarrelRail","M1014 枪管导轨"
"Counterweight","夜视仪配重"
"MP5HandguardRIS","RIS 护木 (MP5)"
"SDASSBarrelRail","SDASS 枪管导轨"
"AKRailAdapter","侧导轨安装座"
"ASVALRailAdapter","侧导轨安装座"
"GalilGSMRailAdapter","侧导轨安装座"
"SVDRailAdapter","侧导轨安装座"
"G3RailAdapter","顶部导轨安装座"
"MP5RailAdapter","顶部导轨安装座"
"MP5SD5SuppressorRail","三导轨安装座"
