"Key","SourceString"
"22LR",".22 LR (全金属被甲)"
"300BlkFMJ",".300 BLK (全金属被甲/亚音速)"
"40calFMJ",".40 S&W (全金属被甲)"
"45Acpfmj",".45 ACP (全金属被甲)"
"Shell12Gauge00","12号 (00 霜弹)"
"Shell12GaugeSpent","12号 (00 霜弹) (已击发)"
"46x30mmFMJ","4.6×30MM (全金属被甲)"
"545x39mmFMJ","5.45×39MM (全金属被甲)"
"556x45mmNATOFMJ","5.56 NATO (全金属被甲)"
"762x51mmNATOFMJ","7.62 NATO (全金属被甲)"
"762x39mmFMJ","7.62×39MM (全金属被甲)"
"762x52mmR","7.62×54MM (全金属被甲)"
"762x51mmNATOSpent","7.62 NATO (全金属被甲) (已击发)"
"9x19mmFMJ","9×19MM (全金属被甲)"
"9x39mmFMJ","9×39MM (全金属被甲)"
"NETracerMetadataDescription","Distance from start of ribbon that the particle lies."
"NSTracerMetadataDescription","Explicit order for linking particles within a ribbon. Particles of the same ribbon id will be connected into a ribbon in incrementing order of this attribute value."
"NETracerMetadataDescriptionNiagaraScriptVariable97Metadata","Mass is factored into the Solver Calculations (Solve Forces and Solve Rotational Forces) where forces are converted into a final velocity. The more massive a particle, the more force is required to move it. "
"NSTracerMetadataDescriptionNiagaraScriptVariable71Metadata","Sets the ribbon id for a particle. Particles with the same ribbon id will be connected into a ribbon."
"NSTracerMetadataDescriptionNiagaraScriptVariable78Metadata","Sets the ribbon twist for a particle, in degrees."
"NETracerMetadataDescriptionNiagaraScriptVariable61Metadata","Sets the ribbon width for a particle, in UE4 units."
"NETracerMetadataDescriptionNiagaraScriptVariable85Metadata","The age in seconds divided by lifetime in seconds. Useful for animation as the value is between 0 and 1."
"NETracerMetadataDescriptionNiagaraScriptVariable92Metadata","The color of the particle."
"NETracerMetadataDescriptionNiagaraScriptVariable80Metadata","The lifetime of a particle in seconds."
"NETracerMetadataDescriptionNiagaraScriptVariable67Metadata","The position of the particle."
"NSTracerMetadataDescriptionNiagaraScriptVariable29Metadata","The size of the sprite quad."
"NETracerMetadataDescriptionNiagaraScriptVariable96Metadata","The velocity in cm/s of the particle."
"NSTracerMetadataDescriptionNiagaraScriptVariable144Metadata","Used to drive the attenuation of the light when using a Light renderer without inverse squared falloff enabled."
"NETracerMetadataDescriptionNiagaraScriptVariable34Metadata","Used to drive the Particle Random node in the Material Editor. Without this set, any Particle Randoms will get 0.0."
"NSTracerMetadataDescriptionNiagaraScriptVariable143Metadata","Used to drive the radius of the light when using a Light renderer."
