"Key","SourceString"
"SkinInfoCamoAOR1DASkinInfoCamoAOR1","AOR-1"
"SkinInfoCamoAOR2DASkinInfoCamoAOR2","AOR-2"
"SkinInfoBlackDASkinInfoBlack","黑色"
"SkinInfoBrownDASkinInfoBrown","棕色"
"SkinInfoCoyoteBrownDASkinInfoCoyoteBrown","狼棕色"
"SkinInfoCamo3ColorDASkinInfoCamo3Color","DCP"
"SkinInfoCamoTigerStripeDesertDASkinInfoCamoTigerStripeDesert","沙漠虎纹"
"SkinInfoFDEDASkinInfoFDE","FDE"
"SkinInfoCamoFlecktarnDASkinInfoCamoFlecktarn","斑点迷彩"
"SkinInfoFoliageGreenDASkinInfoFoliageGreen","叶绿"
"SkinInfoGBDASkinInfoGB","GB 标志"
"SkinInfoGreyDASkinInfoGrey","灰色"
"SkinInfoKhakiDASkinInfoKhaki","卡其色"
"SkinInfoLightBlueDASkinInfoLightBlue","浅蓝"
"SkinInfoCamoM81DASkinInfoCamoM81","M81"
"SkinInfoCamoMarpatDesertDASkinInfoCamoMarpatDesert","MARPAT 沙漠"
"SkinInfoCamoMarpatWoodlandDASkinInfoCamoMarpatWoodland","MARPAT 丛林"
"SkinInfoNavyDASkinInfoNavy","海军蓝"
"SkinInfoNormalDASkinInfoNormal","普通"
"SkinInfoCamoOCPDASkinInfoCamoOCP","OCP"
"SkinInfoGreenDASkinInfoGreen","OD 绿"
"SkinInfoODDASkinInfoOD","橄榄褐"
"SkinInfoRangerGreenDASkinInfoRangerGreen","游骑兵绿"
"SkinInfoTanDASkinInfoTan","棕褐色"
"SkinInfoCamoTigerStripeDASkinInfoCamoTigerStripe","虎纹"
"SkinInfoCamoUCPDASkinInfoCamoUCP","UCP"
"SkinInfoCamoUCPDDASkinInfoCamoUCPD","UCP-D"
"SkinInfoWhiteDASkinInfoWhite","白色"
