"Key","SourceString"
"CMMoskitoRFRangeText","{0}米"
"TabletTimeOfDay","{Hours}:{Minutes}"
"WatchAppSimple","{Hours}:{Minutes}"
"WatchAppTime","{Hours}:{Minutes}"
"CarriedGameModeFlagAttemptToPlace","尝试放置。"
"WatchAppSimplePulseSubtextText","BPM"
"BreachingCharge","破门炸药"
"BreachingChargeNoAttachWhileProneMessge","伏卧时无法安装破门炸药。"
"Detonator","引信"
"CarriedGameModeFlag","旗帜"
"WatchAppTimeTimeTextText","HH:MM"
"Laptop","笔记本电脑"
"TabletTimeOfDayTextBlockDisplayNameText","当地时间"
"SLAM","M4 SLAM"
"CMMoskitoRFMeasuringText","测量中..."
"WatchAppRoundStageTimeWarnMinutesTextText","分"
"GACarriedGameModeFlagPlaceNotPlaceable","无法放置。"
"WatchAppProximityAlertTextAlertText","目标
接近"
"WatchAppProximityAlertAlertText","目标 
接近"
"LaptopPickedUpLaptop","拾取笔记本电脑。"
"WatchAppBearingTextAlert1Text","距离 (米)"
"GACarriedGameModeFlagPlaceReleaseToPlace","释放以放置。"
"CMMoskitoRFPrefixText","SD:"
"WristWatchModular","手表"
