"Key","SourceString"
"HeadGearCustomisationWBPDraggableItemsListDraggableItemTypeName","配件"
"HatBaseBall","棒球帽"
"HatBaseBallRev","棒球帽 (反戴)"
"HatBoonie","菇帽"
"HatBoonieFolded","菇帽 (折叠)"
"HatWatchCap","抓绒小冒"
"ViperHoodBare","吉利头套"
"ViperHood","吉利头套 (伪装罩)"
"Headscarf","头巾"
"ComTacStandAlone","耳机"
"HelmetAFrameN","头盔 (AF)"
"HelmetAFrame","头盔 (AF/伪装罩)"
"HelmetOpsCoreN","头盔 (HC)"
"HelmetOpsCore","头盔 (HC/伪装罩)"
"HelmetMichN","头盔 (MICH)"
"HelmetMich","头盔 (MICH/伪装罩)"
"HostageSack","人质头套"
"NVGHeadset","夜视仪头带"
"ShemaghHead","席美格 (头部)"
