"Key","SourceString"
"AKMMagazine","AK 30发 [7.62×39MM] (金属)"
"AK762Magazine","AK 30发 [7.62×39MM] (聚合物)"
"AK545BakeliteMagazine","AK-74 30发 [5.45×39MM] (烧瓷)"
"AK545PlumMagazine","AK-74 30发 [5.45×39MM] (梅色)"
"AK545Magazine","AK-74 30发 [5.45×39MM] (聚合物)"
"ASVSSMag10rd","AS/VSS 10发 [9×39MM]"
"ASVSSMag20rd","AS/VSS 20发 [9×39MM]"
"ASVSSMag30rd","AS/VSS 30发 [9×39MM]"
"Aug556Magazine","AUG 30发 [5.56 NATO]"
"MK46Magazine","弹链 100发 [5.56 NATO] 炮弹"
"PKMMagazine","弹链 100发 [7.62×54MM] 炮弹"
"FALMagazine","FAL/SA58 20发 [7.62 NATO]"
"G19Magazine","G19 15发 [9×19MM]"
"G19ExtMagazine","G19 20发 [9×19MM]"
"G3A3Magazine","G3 20发 [7.62 NATO]"
"G36K556Magazine","G36 30发 [5.56 NATO]"
"Galil35Magazine","Galil 35发 [5.56 NATO]"
"Galil50Magazine","Galil 50发 [5.56 NATO]"
"M14Magazine","M14 20发 [7.62 NATO]"
"M17Magazine","M17 17发 [9×19MM]"
"M17ExtMagazine","M17 21发 [9×19MM]"
"M1911ExtMagazine","M1911 10发 [.45 ACP]"
"M1911Magazine","M1911 8发 [.45 ACP]"
"M9A3Magazine","M9 17发 [9×19MM]"
"M9A3ExtMagazine","M9 20发 [9×19MM]"
"SCARHMagazine","MK17 20发 [7.62 NATO]"
"MK24ExtMagazine","MK24 10发 [.45 ACP]"
"MK24Magazine","MK24 8发 [.45 ACP]"
"MK25Magazine","MK25 15发 [9×19MM]"
"MK25ExtMagazine","MK25 20发 [9×19MM]"
"RugerMk3Magazine","MK3 10发 [.22 LR]"
"MP59mmMagazine","MP5 30发 [9×19MM]"
"MP7Magazine","MP7 40发 [4.6×30MM]"
"MPX9mmMagazine","MPX 30发 [9×19MM]"
"Pmag300Magazine","PMAG 30发 [.300 BLK]"
"Pmag556Magazine","PMAG 30发 [5.56 NATO]"
"Pmag556ExtMagazine","PMAG 35发 [5.56 NATO]"
"PMMMagazine","PMM 12发 [9×18MM]"
"RPKMagazine","RPK 40发 [7.62×39MM]"
"RPK74Magazine","RPK-74 45发 [5.45×39MM]"
"SR25M110Magazine","SR-25/M110 20发 [7.62 NATO]"
"Stanag20556Magazine","STANAG 20发 [5.56 NATO]"
"Stanag300Magazine","STANAG 30发 [.300 BLK]"
"Stanag556Magazine","STANAG 30发 [5.56 NATO]"
"Svd762Magazine","SVD 10发 [7.62×54mmR]"
"UMP45Magazine","UMP45 25发 [.45 ACP]"
"Wz88Magazine","Wz.88 30发 [5.45×39MM]"
