"Key","SourceString"
"SuppressorAAC762SD","消音器"
"SuppressorAACMGSD","消音器"
"SuppressorAR","消音器"
"SuppressorBR762","消音器"
"SuppressorCenturion9mm","消音器"
"SuppressorFNQD701","消音器"
"SuppressorM110","消音器"
"SuppressorM110K1","消音器"
"SuppressorMarksman","消音器"
"SuppressorMP7","消音器"
"SuppressorPistol45","消音器"
"SuppressorPistol9mm","消音器"
"SuppressorRotexVCompact","消音器"
"SuppressorSMG45","消音器"
"SuppressorSMG9mm","消音器"
"SuppressorSureFire762K","消音器"
"SuppressorMPX","消音器"
"SuppressorATG","消音器"
"SuppressorAK762PBS1","消音器"
"SuppressorAK545PBS4","消音器"
