"Key","SourceString"
"LowVisLBC","防弹衣"
"PlatformChestRigJAC","胸部装具系统 (JAC)"
"LowVisJAC","胸部装具系统 (JAC/防弹)"
"PlatformChestRigMCR","胸部装具系统 (MCR)"
"LowVisMCR","胸部装具系统 (MCR/防弹)"
"PlatformPlateCarrierJPC","护板背心 (JPC)"
"PlatformPlateCarrierMPC","护板背心 (MPC)"
"DTModularAmmoPouchListModularPrimaryAmmoPouchLargeDisplayName18263D0A9313E84F348EAA04A7E0660053","主装备弹药 (大)"
"DTModularAmmoPouchListModularPrimaryAmmoPouchSmallDisplayName18263D0A9313E84F348EAA04A7E0660053","主装备弹药 (小)"
"DTModularAmmoPouchListModularSidearmAmmoPouchDisplayName18263D0A9313E84F348EAA04A7E0660053","副装备弹药"
