"Key","SourceString"
"AK103Zenitco","AK-103 Alpha"
"AK105Factory","AK-105"
"AK105Zenitco","AK-105 Alpha"
"AK74","AK-74"
"AKMaster","AK-74M"
"AKM","AKM"
"AKS74Wood","AKS-74"
"AKS74Polymer","AKS-74 (聚合物)"
"AKS74uFactory","AKS-74U"
"AKS74uTacticool","AKS-74U Alpha"
"ASVal","AS Val"
"ASMVal","ASM Val"
"AUGA1","AUG A1"
"AUGMaster","AUG A3"
"F88SA2","F88SA2"
"FALMaster","FAL"
"FNFALTactical","FAL Custom"
"G36KMaster","G36K"
"G36KCustom","G36K Custom"
"G3Master","G3A3"
"GalilAR","Galil AR"
"GalilMaster","Galil ARM"
"GalilSAR","Galil SAR"
"416","HK416D"
"416CQB","HK416D CQB"
"MCXLVAW","LVAW"
"M1014Master","M1014"
"M110Master","M110"
"M110K1","M110K1"
"M16A4","M16A4"
"M24Master","M24"
"M4BlockII","M4A1 Block II"
"M4FSP","M4A1 Block II (FSP)"
"AR15Master","M4A1 SOPMOD"
"Mossberg500","M500"
"Mossberg500Tactical","M500 Tactical"
"MCXLVAWMaster","MCX LVAW"
"M14Master","MK14 EBR"
"SCARMaster","MK17 CQC"
"Mk17DMR","MK17 DMR"
"Mk18MOD1","MK18"
"MK46Master","MK46"
"MP5Master","MP5A4"
"MP5A5","MP5A5"
"MP5SD5","MP5SD5"
"MP5SD6","MP5SD6"
"MP7Master","MP7A1"
"MPXMaster","MPX SBR"
"PKMMaster","PKM"
"RPK","RPK"
"RPK74","RPK-74"
"SA58Master","SA58 OSW"
"SDASSMaster","SDASS Custom"
"SDASSMartial","SDASS Martial"
"SVDMaster","SVD"
"SVD63","SVD-63"
"SVD90","SVD-90"
"UMP45Master","UMP45"
"VSSMaster","VSS"
"VSS","VSS Vintorez"
"VSSM","VSSM Vintorez"
"KbkWz88","Wz.88"
