"Key","SourceString"
"MagpulAFG2","斜握把"
"Bipod","双脚架 (非功能性)"
"Grippod","双脚架握把"
"DBALPL","DBAL-PL"
"LT608Rail","EBR 加长抬高座"
"KAG1913","护手握把"
"DBALPLIR","红外照明器
+ 激光"
"ANPEQMasterIluminatorChangeMode","红外照明器
高/低"
"ANPEQMasterIlluminator","红外照明器      ON/OFF"
"ANPEQMasterLaserUse","激光
ON/OFF"
"ANPEQMasterLaserChangeMode","激光模式
可见/红外"
"OffsetRailAdapter","偏移导轨"
"RailCover","导轨盖板 A (长)"
"RailCoverShort","导轨盖板 A (短)"
"LadderRailLong","导轨盖板 B (长)"
"LadderRailMedium","导轨盖板 B (中)"
"LadderRailShort","导轨盖板 B (短)"
"Mod3","反向握把"
"Riser15x100mm","抬高座 (100x15)"
"Riser25x100mm","抬高座 (100x25)"
"Riser15x50mm","抬高座 (50x15)"
"Riser25x50mm","抬高座 (50x25)"
"TDStubbyVertGrip","短握把 A"
"FUG","短握把 B"
"ZenitcoGrip","短握把 C"
"SigMPXForeGrip","短握把 D"
"SurefireM300C","战术灯 (M300C)"
"SurefireM600V","战术灯 (M600V)"
"WMLxRifle","战术灯 (WMLx)"
"TacLightHandgun","战术灯 (X300)"
"KACForegrip","垂直握把 A"
"RVGVertGrip","垂直握把 B"
"ForegripVertical","垂直握把 C"
"LaserSightRifle","可见激光 (红色)"
"DBALPLVIS","可见光
+ 激光"
