"Key","SourceString"
"ShirtUnderLongsleeve","基础层"
"ShirtUnderLongsleeveTucked","基础层 (堵入)"
"ShirtButtonUpPlain","扣子衬衫"
"ShirtButtonUpPlainTucked","扣子衬衫 (堵入)"
"ShirtTacticalUnzipped","战斗衫"
"ShirtTacticalRolledUnzipped","战斗衫 (卷袖)"
"ShirtTactical","战斗衫 (拉链)"
"ShirtTacticalRolled","战斗衫 (拉链/卷袖)"
"ShirtACUOpen","斗士外套"
"ShirtACUOpenRolled","斗士外套 (卷袖)"
"ShirtACUOpenTucked","斗士外套 (堵入)"
"ShirtACUOpenRolledTucked","斗士外套 (堵入/卷袖)"
"ShirtFlannelRolled","棉布衬衫"
"ShirtFlannelRolledTucked","棉布衬衫 (堵入)"
"ShirtFleeceJacket","抓绒连帽衫"
"ShirtButtonUpRolled","薄棉布衬衫"
"ShirtButtonUpRolledTucked","薄棉布衬衫 (堵入)"
"ShirtPolo","Polo 衫"
"ShirtPoloTucked","Polo 衫 (堵入)"
"ShirtRugby","椰槴球衫"
"ShirtRugbyTucked","椰槴球衫 (堵入)"
"ShirtButtonUp","短袖衬衫"
"ShirtButtonUpTucked","短袖衬衫 (堵入)"
"ShirtPCUL5A","软壳外套"
"ShirtPCUL5B","软壳外套 (帽子)"
"ShirtUnder","T恤"
"ShirtUnderTucked","T恤 (堵入)"
