"Key","SourceString"
"1P78KashtanScope","1P78 Kashtan 2.8倍"
"OpticalTrijiconAccupower","AccuPower 1–8倍"
"OpticalACOGTA31","ACOG 4倍"
"OpticalAcog6x48","ACOG 6倍"
"ANPVS17C","AN/PVS-17C MNS"
"ANPVS22","AN/PVS-22 UNS"
"OpticalNightforceATACR","ATACR 1–8倍"
"M16A4CarryHandle","提把后描准"
"CMoreASR","CTRW"
"DocterRMRRugerMk3","Docter II"
"DocterRMR","Docter II (平顶安装座)"
"DocterRMRLowMount","Docter II (低导轨)"
"DocterRMRTallRail","Docter II (高导轨)"
"G33Magnifier","G33 增大镜 3倍"
"EOTech551","HWS 551"
"EOTech552","HWS 552"
"EOTech553","HWS 553"
"EXP3HoloGraphic","HWS EXPS3"
"KobraEKP802","Kobra EKP-8-02"
"KobraEKP818","Kobra EKP-8-18"
"RedDotComp4s","M68 CCO"
"G33MagnifierMagnifierText","增大镜
ON/OFF"
"MagpulMBUSFront","MBUS 铁描准 (前)"
"MagpulMBUSRear","MBUS 铁描准 (后)"
"KACMicroFront","微型铁描准 (前)"
"KACMicroRear","微型铁描准 (后)"
"MicroT1","Micro T-1"
"MicroT1Tall","Micro T-1 (抬高)"
"MicroT2","Micro T-2"
"MicroT2Tall","Micro T-2 (抬高)"
"OpticalMk410x","MK4 3.5–10倍"
"OpticalLeupoldCQBSS","MK8 CQBSS 1.1–8倍"
"TrijiconMRO","MRO"
"TrijiconMROTall","MRO (抬高)"
"OKP7Dovetail","OKP-7"
"OKP7","OKP-7 (导轨)"
"OpticalPMII525x","PMII 5–25倍"
"RedDotPro","PRO"
"PSO1M2Scope","PSO-1M2 4倍"
"PSO1M21Scope","PSO-1M2-1 4倍"
"VortexRazorHD","Razor HD 1–6倍"
"ShotgunRearsight","后描准 (SDASS)"
"TrijiconRMRRugerMk3","RMR"
"TrijiconRMR","RMR (平顶安装座)"
"TrijiconRMRLowMount","RMR (低导轨)"
"TrijiconRMRTallRail","RMR (高导轨)"
"SCARRear","SCAR 铁描准 (后)"
"OpticalSpecterDR","Specter DR 1倍/4倍"
"TrijiconSRS","SRS"
"OpticalEOTechVudu","Vudu 1–6倍"
