Key,SourceString
"Amber","Amber"
"Ancient","Ancient"
"Azure","Azure"
"Banished","Banished"
"Bleeding","Bleeding"
"Blessed","Blessed"
"Blighted","Blighted"
"Blind","Blind"
"Blinding","Blinding"
"Blistering","Blistering"
"Blood-Soaked","Blood-Soaked"
"Blue","Blue"
"Brilliant","Brilliant"
"Brazen","Brazen"
"Broken","Broken"
"Brooding","Brooding"
"Brutal","Brutal"
"Buried","Buried"
"Burning","Burning"
"Callous","Callous"
"Choking","Choking"
"Clear","Clear"
"Cold","Cold"
"Cosmic","Cosmic"
"Crimson","Crimson"
"Cryptic","Cryptic"
"Crystal","Crystal"
"Cursed","Cursed"
"Damned","Damned"
"DeadMans","Dead Man\'s"
"Deadly","Deadly"
"Deafening","Deafening"
"Decaying","Decaying"
"Defeated1","Defeated"
"Defeated2","Defeated"
"Defiant","Defiant"
"Demon","Demon"
"Despondent","Despondent"
"Devils","Devil\'s"
"Dim","Dim"
"Dismal","Dismal"
"Divine","Divine"
"Dread","Dread"
"Driven","Driven"
"Driving","Driving"
"Drunken","Drunken"
"Dull","Dull"
"Dying","Dying"
"Earthly","Earthly"
"Empty","Empty"
"Enduring","Enduring"
"Evasive","Evasive"
"Faceless","Faceless"
"Faded","Faded"
"Fading","Fading"
"Failing","Failing"
"Fallen","Fallen"
"Falling","Falling"
"Fatal","Fatal"
"Final","Final"
"First","First"
"Flying","Flying"
"Foolish","Foolish"
"Forgotten","Forgotten"
"Frozen","Frozen"
"Furious","Furious"
"Gasping","Gasping"
"Gilded","Gilded"
"Given","Given"
"Glass","Glass"
"Godless","Godless"
"Golden","Golden"
"Gruesome","Gruesome"
"Haunting","Haunting"
"Hazy","Hazy"
"Heavenly","Heavenly"
"Heavy","Heavy"
"Hellborn","Hellborn"
"Hellish","Hellish"
"Hemorrhaging","Hemorrhaging"
"Hidden","Hidden"
"Hollow","Hollow"
"Holy","Holy"
"Hopeless","Hopeless"
"Hospitable","Hospitable"
"Hostile","Hostile"
"Impossible","Impossible"
"Inferior","Inferior"
"Iron","Iron"
"Jagged","Jagged"
"Judicious","Judicious"
"Languid","Languid"
"Last","Last"
"Laughing","Laughing"
"Lazy","Lazy"
"Little","Little"
"Lone","Lone"
"Lonely","Lonely"
"Lost","Lost"
"Magic","Magic"
"Manic","Manic"
"Meticulous","Meticulous"
"Morbid","Morbid"
"Northern","Northern"
"Omniscient","Omniscient"
"Orange","Orange"
"Outer","Outer"
"Outlawed","Outlawed"
"Overused","Overused"
"Patient","Patient"
"Penultimate","Penultimate"
"Perilous","Perilous"
"Pink","Pink"
"Pious","Pious"
"Poisoned","Poisoned"
"Potent","Potent"
"Precious","Precious"
"Pungent","Pungent"
"Purple","Purple"
"Rebel","Rebel"
"Red","Red"
"Righteous","Righteous"
"Rotting","Rotting"
"Sacred","Sacred"
"Scattered","Scattered"
"Secret","Secret"
"Senseless","Senseless"
"Serene","Serene"
"Severed","Severed"
"Shackled","Shackled"
"Shambling","Shambling"
"Shattered1","Shattered"
"Shattered2","Shattered"
"Shrouded","Shrouded"
"Silent","Silent"
"Sinking","Sinking"
"Sleeping","Sleeping"
"Smoking","Smoking"
"Soaring","Soaring"
"Sonorous","Sonorous"
"Spectral","Spectral"
"Spotless","Spotless"
"Starving","Starving"
"Steely","Steely"
"Stolen","Stolen"
"Stone","Stone"
"Summoned","Summoned"
"Sundered","Sundered"
"Superior","Superior"
"Swift","Swift"
"Teaming","Teaming"
"Tenacious","Tenacious"
"Toxic","Toxic"
"Twisted","Twisted"
"Unceasing1","Unceasing"
"Unceasing2","Unceasing"
"Unholy","Unholy"
"Unknown","Unknown"
"Veiled","Veiled"
"Vengeful","Vengeful"
"Violent","Violent"
"Wailing","Wailing"
"Weeping","Weeping"
"Wild","Wild"
