Key,SourceString
"Ace","Ace"
"Agony","Agony"
"Altar","Altar"
"Anger","Anger"
"Apollo","Apollo"
"Armor","Armor"
"Autumn","Autumn"
"Bandage","Bandage"
"Beast","Beast"
"Beyond","Beyond"
"Blade1","Blade"
"Blade2","Blade"
"Blood","Blood"
"Bone","Bone"
"Border","Border"
"Breaker","Breaker"
"Breath","Breath"
"Briar","Briar"
"Bridge","Bridge"
"Bulwark","Bulwark"
"Cadaver","Cadaver"
"Calm","Calm"
"Carrier","Carrier"
"Castle","Castle"
"Cavern1","Cavern"
"Cavern2","Cavern"
"Chalice1","Chalice"
"Chalice2","Chalice"
"Chant1","Chant"
"Chant2","Chant"
"Child","Child"
"Chill","Chill"
"Circle","Circle"
"Claw","Claw"
"Cleaver","Cleaver"
"Cobra","Cobra"
"Corner","Corner"
"Corpse1","Corpse"
"Corpse2","Corpse"
"Court","Court"
"Crone","Crone"
"Crown","Crown"
"Cry","Cry"
"Crypt","Crypt"
"Dagger","Dagger"
"Dance1","Dance"
"Dance2","Dance"
"Dawn1","Dawn"
"Dawn2","Dawn"
"Daze","Daze"
"Death1","Death"
"Death2","Death"
"Death3","Death"
"Defense","Defense"
"Demon","Demon"
"Devil","Devil"
"Diamond","Diamond"
"Dirge","Dirge"
"Doom1","Doom"
"Doom2","Doom"
"Dragon1","Dragon"
"Dragon2","Dragon"
"Dread","Dread"
"Dream","Dream"
"Druid","Druid"
"Elegy","Elegy"
"Emperor","Emperor"
"Empire","Empire"
"Engine","Engine"
"Epidemic","Epidemic"
"Face","Face"
"Fall","Fall"
"Father1","Father"
"Father2","Father"
"Fear","Fear"
"Feast","Feast"
"Feather","Feather"
"Fire1","Fire"
"Fire2","Fire"
"Fist1","Fist"
"Fist2","Fist"
"Flame","Flame"
"Flicker","Flicker"
"Fog1","Fog"
"Fog2","Fog"
"Fool","Fool"
"Fort","Fort"
"Frost","Frost"
"Future","Future"
"Gasp","Gasp"
"Gaze","Gaze"
"Gears","Gears"
"Ghost","Ghost"
"Giant1","Giant"
"Giant2","Giant"
"Gift","Gift"
"Glove","Glove"
"God1","God"
"God2","God"
"God3","God"
"Gods","Gods"
"Grave","Grave"
"Graveyard","Graveyard"
"Grin","Grin"
"Guard","Guard"
"Halo","Halo"
