Key,SourceString
"DelayedOptOut","即将退出..."
"DelayedReadyRoom","即将返回准备室..."
"DelayedSpectate","即将成为旁观者..."
"PendingFOVChange","视野将在下次重生时更改。"
"AlreadyMuted","{0} 已被静音。"
"Muted","已静音 {0}。"
"Unmuted","已取消静音 {0}。"
"NotMuted","{0} 未被静音。"
"MutedEveryone","已静音所有人。"
"UnmutedEveryone","已取消静音所有人。"
"MuteTalkingFailed","未静音任何人。"
"MuteTalking","已静音 {0}"
"CustomiseOperatorInReadyRoom","你可以在准备室中自定义你的操作员。"
"CustomiseOperatorCheatsNotEnabled","作弊未启用。\n请返回准备室以自定义你的操作员。"
"CheatDisabled","{0} 已被禁用，针对 {1}。"
"CheatEnabled","{0} 已被启用，针对 {1}。"
"CheatsNotEnabled","作弊未启用。"
"DebugHintsEnabled","调试提示已启用。"
"DebugHintsDisabled","调试提示已禁用。"
"ChangeTeamPromptTitle","更换队伍"
"ChangeTeamPromptMessage","{0} 需要更多玩家。\n更换到 {0}？"
