"Key","SourceString"
"SetTeamElement","设置队员元素"
"UniqueId","<唯一标识>"
"Callsign","呼号"
"NoTeam","无队伍"
"Roster","名单"
"KickReasonTitle","踢出原因？"
"MuteAll","全部静音"
"TeamName","<队伍名称>"
"Ping","<延迟>"
"CallsignPlaceholder","ABC"
"AdminActions","管理员操作"
"ClickToMutePlayer","点击以静音此玩家。"
"MuteTalking","语音静音"
"QuickPlayerAdminCommands","玩家快速管理命令"
"BanReasonTitle","封禁原因？"
"Player","玩家"
"PingLabel","延迟"
"ClickToUnmutePlayer","你已将此玩家静音。
点击解除静音。"
"UnmuteAll","解除全部静音"
"NeedReasonMessage","需要指定原因。"
"BanDurationTitle","封禁时长？"
"NeedReasonTitle","未指定原因。"
"BanDurationMessage","以分钟为单位，-1 表示永久。"
"ClickToMuteTalkingPlayer","此玩家正在说话。
点击以静音此玩家。"
"MuteTalkingTooltip","静音任何正在使用 VOIP 的玩家。"
"PlayerName","<玩家名称>"
