"Key","SourceString"
"OperationNameWithPrefix","{Operation} {Name}"
"Operation","行动"
"SettingName","设置"
"AdjustStrengthTrajectory","调整力度/弹道"
"GrenadeThrowAssist","手榴弹投掷辅助"
"Description","手枪更贴近胸口并指向前方——非常适合极狭窄空间。"
"CloseReadyPosition","近距待击位置"
"GetToDefenderPosition","前往防守位置"
"NoDamageToEnemy","您将无法对敌人造成任何伤害。"
"ObjectiveStatusPreview","创建一个小部件，在任务期间于游戏中显示目标状态变更。"
"ObjectiveCompleted","目标已完成"
"SearchSkins","搜索皮肤……"
"AvailableSkins","可用皮肤"
"AllowSkinForTeam","拖放至某个团队（左侧）以允许该团队使用此皮肤。"
"SkinName","皮肤名称"
"ObjectiveMarker","目标"
"Highlights","亮点"
"SuccessfulAttempts","成功尝试"
"PrimaryObjectives","主要目标"
"SecondaryObjectives","次要目标"
"BlurrySightsNightVision","模糊瞄准具（夜视）"
"FixedFocalRangeDescription","夜视仪具有固定焦距范围，导致附近物体失焦。虽然这使得机械瞄具和瞄准镜难以使用，但夜视仪与红点和全息瞄准具完全兼容。"
"NoNightVisionGogglesEquipped","您的角色未装备任何夜视仪。"
"NoNvgEquipped","未装备夜视仪！"
"OpsBoard","行动板"
"ReviewMissionDetailsBeforeDeploying","前往行动板查看任务详情和参数后再部署。"
"OperationsRoom","行动室"
"ReviewMissionDetailsAndParameters","进入行动室查看任务详情和参数。"
"PlayerName","玩家名称"
"ReadyRoomOnlyDisplay","玩家名称仅在准备室中显示。"
"RemoveRestraints","解除束缚"
"Details","详情"
"ParamTitle","参数"
"SpawnProtectionArea","出生保护区域"
"ProtectedAreaDamageRestriction","在回合开始前，您将无法对该区域内的敌人造成任何伤害。"
"ScreenName","显示名称"
