"Key","SourceString"
"ContextSection","上下文区域"
"TargetSection","目标区域"
"AdminPanel","管理面板"
"Show","显示"
"Frozen","冻结"
"Hide","隐藏"
"OkCancel","确定/取消"
"YesNo","是/否"
"ModIdFormat","模组 ID {0}"
"ModdedAsset","这是一个模组化资源"
"ExampleMultiLine","这会是多行吗？\n还是说不是？\n让我们来确认一下。"
"SearchTarget","搜索\n{0}"
"SearchAsset","搜索\n{0}"
"IntelFileNumber","情报文件 #{0}"
"MapText","地图文本"
"ExampleHint","这是一个提示"
"ReturningToMainMenu","返回主菜单"
"AssassinationTarget","暗杀目标"
"ExfilLocation","撤离点位置"
"OptionalStartLocation","您可以选择在此位置开始任务。"
"InfilLocation","渗透位置"
"ObjectiveLocation","目标位置"
"TabText","标签文本"
"None","无"
"AwaitingProcessing","等待处理"
"Processed","已处理"
"Invalid","无效"
"Completed","完成"
"Failed","失败"
"ExitMenu","退出菜单"
"Operation","行动"
"MissionParameters","任务参数"
"TapQuickHoldFluid","轻触快速 / 按住流畅"
"RemoveRestraints","解除束缚"
"ExtractionAvailable","可撤离"
"FlagAreaCapturable","旗区可占领 —"
"AssetBeingHunted","资产正被追捕。 —"
"BeginOperation","开始行动 —"
"StandBy","待命 —"
"GetReady","准备 —"
"DeployingIn","部署倒计时："
"DefendersPlacingFlag","防守方正在放置旗帜 -"
"AssetRunning","资产正在逃跑。 -"
"DefenderSetup","防守方准备 -"
"DaggerStatusOnStation","匕首状态 - 就位"
"HidePlayerNames","隐藏玩家名称"
"ShowPlayerNames","显示玩家名称"
