"Key","SourceString"
"SubscribeToServerModsTitle","订阅模组？"
"OpenFolder","打开模组当前存储的文件夹。"
"RefreshClient","重新扫描最近订阅或更新的模组。"
"ServerChangesRequireRestart","更改将在服务器重启后生效。"
"SetAllInactiveLabel","全部停用"
"ModAuthorColumn","这是模组的作者，由模组本身声明。"
"ModDisabledTitle","模组已禁用"
"ModSizeColumn","模组大小 (GB)（由 Steam 工坊报告）。"
"RefreshServer","查询服务器以刷新服务器模组列表。"
"RequestingServerModList","正在请求服务器模组列表…"
"ListenServerUsesLocalModList","侦听服务器（"主机游戏"）使用本地模组列表

此设置可在游戏设置（模组）中更改"
"UnsubscribeWarningMessage","您确定要取消订阅此模组并将其从本地文件中删除吗？您可能需要重启游戏才能使更改完全生效。"
"UnsubscribeAllLabel","取消订阅全部"
"Size","大小"
"PriorityUpLabel","优先级"
"PriorityUp","提高模组的优先级，使得相关的修改器在优先级较低的修改器之前被调用。"
"ModTitle","模组标题"
"SubscribeToServerModsMessagePlural","服务器列表中发现 {0} 个模组已激活但未在本地订阅。现在订阅它们？"
"ModTitleColumn","这是模组的标题（如果有），由模组本身指定。"
"Active","激活"
"RemoveModTitle","移除模组"
"ModsDisabledTitle","模组已禁用"
"DeactivateLabel","停用"
"ModsDisabledMessage","至少有一个服务器模组已被禁用，因为它未在本地订阅"
"PriorityDown","降低模组的优先级，使得相关的修改器在优先级较高的修改器之后被调用。"
"UnsubscribeAllShortLabel","取消订阅全部"
"ToggleActiveClient","开启或关闭模组，但保持已安装/已订阅状态。"
"DisableLabel","禁用"
"ModAuthor","模组作者"
"ClientChangesRequireRestart","更改激活的模组将需要重启游戏才能完全生效。"
"SubscribeToServerModsMessageSingular","服务器列表中发现一个模组已激活但未在本地订阅。现在订阅它？"
"RemoveAllServerMessage","继续从列表中移除所有模组？"
"OpenFolderLabel","打开文件夹"
"RemoveServerMod","从服务器模组列表中移除该模组。"
"ModId","模组 ID"
"ModTypeColumn","模组类型由模组自身声明。此信息仅供参考，并非决定性。"
"ModEnabledTitle","模组已启用"
"ModActiveColumn","此模组是否应激活。"
"UnsubscribeClient","从 Steam 工坊取消订阅该模组并将其从本地存储中移除。"
"Type","类型"
"EnableLabel","启用"
"SetAllActiveLabel","全部激活"
"RemoveAllClientMessage","继续取消订阅列表中的所有模组？"
"ToggleActiveServer","切换服务器是否使用此模组，并要求客户端在加入服务器之前同步它。"
"Client","客户端"
"ModIdColumn","模组 ID 是与 Steam 工坊中模组关联的唯一引用。模组 ID 0 是一个特殊标识符，与游戏安装目录中的永久模组暂存区相关联。"
