"Key","SourceString"
"LocalSubscribedMods","本地已订阅模组"
"AddToServerLabel","添加到服务器"
"SubscribeSelectedServerMod","订阅（本地）所选的服务器模组"
"SubmittingServerModList","正在提交服务器模组列表"
"SubscribeToggle","在 Steam 工坊上订阅/取消订阅所选模组（用于单人游戏）"
"ServerModsChangedMessage","更改将在服务器重启后生效"
"AddAllActiveLabel","添加全部激活"
"QuickCreate","快速创建"
"AddSelectedLabel","添加所选"
"SubmitServerModChangesMessage","您是否要提交对服务器模组列表的更改？"
"AddSelectedLocalModToServer","将选定的本地模组添加到服务器列表"
"NoPublishedItemsFound","未找到当前用户的已发布工坊物品。"
"Details","详细信息"
"AddSelectedToServer","将选定的模组添加到服务器模组列表"
"UseDefaultLabel","使用默认"
"ServerModList","服务器模组列表"
"ModType","模组类型"
"UnsavedChangesTitle","未保存的更改"
"ServerModListChangedTitle","服务器模组列表已更改"
"ViewInWorkshop","弹出浏览器窗口以在 Ground Branch 工坊中查看模组"
"SearchingByModId","[正在搜索模组 ID {ModID}…]"
"Multiple","多个"
"PromptForFolderPath","请输入您偏好的 StagedMod 文件夹路径："
"ServerMods","服务器模组"
"ScreenTitle","模组"
"Count","数量"
"Mutators","修改器"
"ModNotFoundOrIncompatible","[模组 ID {ModID} 未找到或不兼容。]"
"FailedToLoad","[加载模组详细信息失败。]"
"LocalMods","本地模组"
