"Key","SourceString"
"ServerNameLabel","服务器名称"
"IpAddressLabel","IP 地址"
"JoinLabel","加入"
"ActiveModsTitle","激活的模组"
"ModStatsTitle","模组统计"
"ActiveModsCountTitleFormat","激活的模组 ({0})"
"TotalSizeLabel","总大小："
"DownloadSizeLabel","下载大小："
"NoActiveModsMessage","没有激活的模组。"
"SyncModsTooltip","立即更新您的订阅并下载所有服务器模组，以便稍后更快加入。"
"SyncModsLabel","同步模组"
"AvailableLabel","可用"
"InstalledLabel","已安装"
"InvalidInaccessibleLabel","无效/不可访问"
"UnknownLabel","（未知）"
"UnlistedLabel","（未列出）"
"JoinServerToSyncModTooltip","加入服务器（如果可以的话）以同步模组"
"ModIdTooltip","模组 ID {ID}"
"ModIdWithStatusTooltip","模组 ID {ID} {状态}"
"InvalidTitlePlaceholder","[无效]"
"ModNotFoundMessage","[模组 ID {ModID} 未找到或不兼容]"
"LookingUpModMessage","[正在查找模组 ID {ModID}…]"
"ViewLabel","查看"
"SubscribeLabel","订阅"
