"Key","SourceString"
"VotingCommandsReceived","已接收命令。"
"StartVote","开始投票"
"NeedReasonMessage","需要指定原因。"
"RequestingMapOptions","正在请求地图选项…"
"ChangeMapText","{0}，{1}"
"VotingRequestFailed","请求失败（或未允许任何命令）。"
"VoteTimeoutTitle","投票超时生效中。"
"NeedReasonTitle","未指定原因。"
"KickReasonTitle","踢出原因？"
"Vote","投票"
"VotingMapOptionsReceived","已接收地图选项。"
"OnlinePlayers","在线玩家"
"VoteMap","投票换图"
"VoteTimeoutMessage","投票超时生效中。请等待 {0} 秒后再试。"
"VoteSubmitted","投票已提交。"
"SubmittingVote","正在提交投票…"
"CalledBy","发起者"
"RequestingVoteCommands","正在请求投票命令…"
"MissionMap","任务地图"
"VoteTimeoutMessageDialog","请等待 {0} 秒后再试。"
"VotingRequestFailedError","请求失败（或不允许任何地图/游戏模式）。"
