Key,SourceString,Comment
DTAS,动态夺取与占领,
FoxHunt,Fox Hunt
objective_DefendObjective,你正在防守。,Opsboard
objective_DefendObjectiveDTAS,保卫旗帜区域,Opsboard
objective_DefendObjectiveFoxHunt,保护资产。,Opsboard
objective_CaptureObjective,你正在进攻。,Opsboard
objective_CaptureObjectiveDTAS,占领旗帜区域,Opsboard
objective_CaptureObjectiveFoxHunt,消灭资产。,Opsboard
objective_KillAllAttackers,削弱对方队伍至丧失作战能力。,Opsboard
objective_KillAllDefenders,歼灭对方队伍,Opsboard
summary_DefendObjective,旗帜区域已保卫,AAR
summary_CaptureObjective,旗帜区域已占领,AAR
summary_ProtectFoxObjective,资产已被保护。,AAR
summary_KillFoxObjective,资产已被消灭。,AAR
summary_BothFailed,双方队伍均未完成目标,AAR
summary_DefendersFailedDTAS,防守队未能保护旗帜区域,AAR
summary_AttackersFailedDTAS,进攻队未能占领旗帜区域,AAR
summary_DefendersFailedFoxHunt,资产已被消灭。,AAR
summary_AttackersFailedFoxHunt,进攻队未能消灭资产,AAR
summary_DefendersEliminated,防守队已被消灭,AAR
summary_AttackersEliminated,进攻队已被消灭,AAR
summary_AttackersEliminatedDTAS,剩余进攻队员不足以占领旗帜区域,AAR
roundstage_BlueDefenderSetup_1,准备进攻。,Opsboard
roundstage_BlueDefenderSetup_2,等待蓝队准备。,Opsboard
roundstage_RedDefenderSetup_1,等待红队准备。,Opsboard
roundstage_RedDefenderSetup_2,准备进攻。,Opsboard
roundstage_FoxHuntSetup_1,资产正在移动。,Opsboard
roundstage_FoxHuntSetup_2,资产正在移动。,Opsboard
roundstage_FoxHuntInProgress_1,资产正在被猎杀。,Opsboard
roundstage_FoxHuntInProgress_2,资产正在被猎杀。,Opsboard
roundstage_DTASSetup_1,防守队正在放置旗帜,Opsboard
roundstage_DTASSetup_2,防守队正在放置旗帜,Opsboard
roundstage_DTASInProgress_1,旗帜区域可被占领,Opsboard
roundstage_DTASInProgress_2,旗帜区域可被占领,Opsboard
gamemessage_notenoughplayersfordtas,目前玩家人数不足以进行DTAS。\r\n游戏模式暂时改为猎杀资产。,
gamemessage_waitforroundstartattacker,你是进攻方\r\n等待准备阶段开始。,
gamemessage_waitforroundstartdefender,你是防守方\r\n等待准备阶段开始。,
gamemessage_swapattacking,队伍已交换。\r\n你现在是进攻方,
gamemessage_swapdefending,队伍已交换。\r\n你现在是防守方,
gamemessage_stillattacking,回合已重启。\r\n你仍是进攻方,
gamemessage_stilldefending,回合已重启。\r\n你仍是防守方,
gamemessage_dtasbeginsetupattack,对方队伍正在放置旗帜,
gamemessage_dtasbeginsetupdefend,你的队伍正在放置旗帜,
gamemessage_dtasbeginsetupflagcarrier,你是旗帜携带者。\r\n出发！,
gamemessage_dtasbeginsetupattacksmalltext,对方队伍正在放置旗帜,
gamemessage_dtasbeginsetupdefendsmalltext,其他人正在放置旗帜,
gamemessage_dtasbeginsetupflagcarriersmalltext,你正在放置旗帜,
gamemessage_dtasbeginattack,占领敌方旗帜区域,
gamemessage_dtasbegindefend,保卫旗帜区域——保持在范围内/消灭进攻方,
gamemessage_foxhuntsetupattack,准备定位并消灭资产！,
gamemessage_foxhuntsetupdefend,不惜一切代价保护资产！,
gamemessage_foxhuntsetupfox,你是资产。活下去！,
gamemessage_foxhuntsetupfoxsolo,你是资产！\r\n活下去！,
gamemessage_foxhuntsetupattacksmalltext,你即将猎杀资产。,
gamemessage_foxhuntsetupdefendsmalltext,你的队友是资产。,
gamemessage_foxhuntsetupfoxsmalltext,你是资产。,
gamemessage_foxhuntattack,找到并消灭资产！,
gamemessage_foxhuntdefend,保护资产免受进攻方的攻击！,
