Key,SourceString,Comment
"InvItem.UI.Category.Accessory.Support","握把与支撑",
"InvItem.UI.Category.Accessory.Illumination","照明设备",
"InvItem.UI.Category.Accessory.RailsAndMounts","导轨及其附件",
"InvItem.UI.Category.Accessory.MuzzleDevice","消音器",
"InvItem.UI.Category.Firearm.AssaultRifle","突击步枪",
"InvItem.UI.Category.Firearm.BattleRifle","战斗步枪",
"InvItem.UI.Category.Firearm.DesignatedMarksmanRifle","精确步枪",
"InvItem.UI.Category.Firearm.MachineGun","机枪",
"InvItem.UI.Category.Firearm.Shotgun","霰弹枪",
"InvItem.UI.Category.Firearm.SubmachineGun","冲锋枪",
"InvItem.UI.Category.HeadGear.Hat","软帽",
"InvItem.UI.Category.HeadGear.Helmet","头盔",
"InvItem.UI.Category.HeadGear.Other","其他",
"InvItem.UI.Category.IFF","身份识别系统",
"InvItem.UI.Category.Magazine","弹匣",
"InvItem.UI.Category.NVG","夜视设备",
"InvItem.UI.Category.Pouch.Ammo","弹药",
"InvItem.UI.Category.Pouch.Ammo.Modular","模块化",
"InvItem.UI.Category.Pouch.Ammo.Specific","特种",
"InvItem.UI.Category.Bullet","子弹",
"InvItem.UI.Category.Pouch.Equipment","装备",
"InvItem.UI.Category.Pouch.Grenade","手雷",
"InvItem.UI.Category.Shirt.LongSleeve","长袖",
"InvItem.UI.Category.Shirt.Rolled","卷袖",
"InvItem.UI.Category.Shirt.ShortSleeve","短袖",
"InvItem.UI.Category.Shirt.Tucked","扎裤腰",
"InvItem.UI.Category.Sight.Accessory","瞄具|附件",
"InvItem.UI.Category.Sight.IronSight","瞄具|机械瞄具",
"InvItem.UI.Category.Sight.RedDot","瞄具|红点",
"InvItem.UI.Category.Sight.Scope","瞄具|瞄准镜",
