Key,SourceString,Comment
HostageRescue,人质救援,
HostageRescueRulesOfEngagement1,"攻击方的一名成员在某个建筑物中被劫为人质，该建筑物由游戏模式随机选择。防守方的行动范围被限制在该建筑物内，除非人质逃脱。防守方可以在建筑物内带着人质移动或将其固定在原地，并用枪指着人质来恫吓其保持安静，但同时执行这两项任务需要两名防守队员。\r\n攻击方需要找到人质被关押的建筑物，人质可能会发出一些声音来协助定位。攻击方必须突入建筑物并解救人质。如果攻击方解除了人质的手铐，人质将恢复全面的行动能力和队伍通讯。为了赢得回合，攻击方必须护送人质到撤离点，并至少有一名其他攻击方队员陪同，或者他们也可以消灭防守方。\r\n为了赢得回合，防守方必须消灭所有攻击队员，或者抵挡住攻势直至时间耗尽。任何一方杀死人质都会立即输掉比赛。各位，注意手榴弹的使用。",
HostageRescueRulesOfEngagement2,"如果没有足够的玩家来开始人质救援回合，则简化的建筑突袭模式将启动，防守方仍然被限制在建筑物内，但没有人质，双方队伍只需消灭对方。在这种模式下，任何手段都是允许的！\r\n该游戏模式使用相当激进的自动平衡功能来维持公平的队伍，所以请确保你的红队和蓝队装备都是最新的。",
BuildingAssault,攻楼模式,
objective_DefendHostage,防止人质被撤离,Hostage Rescue primary objective for defenders
objective_EliminateAttackers,消灭攻击队,Hostage Rescue and Building Assault secondary objective for defenders
objective_SurviveRound,存活到回合结束,Building Assault primary objective for defenders
objective_ExtractHostage,撤离人质,Hostage Rescue primary objective for attackers
objective_EliminateDefenders,消灭防守队,Hostage Rescue and Building Assault secondary objective for attackers
summary_DefendedHostage,防守方成功保护了人质,AAR
summary_ExtractedHostage,人质被安全撤离,AAR
summary_AttackersKilledHostage,攻击队杀死了人质,AAR
summary_DefendersKilledHostage,防守队杀死了人质,AAR
summary_HostageKilledHostage,人质自杀了,AAR
summary_DefendersEliminated,防守队被消灭,AAR
summary_AttackersEliminated,攻击队被消灭,AAR
summary_BothEliminated,双方队伍都被消灭,AAR
summary_DefendersSurvived,防守队存活至回合结束,AAR
summary_DefendersKilledArmedHostage,防守队杀死了持械人质,AAR
roundstage_BuildingAssaultSetup_1,防守队正在准备,Opsboard
roundstage_BuildingAssaultSetup_2,防守队正在准备,Opsboard
roundstage_BuildingAssaultInProgress_1,突袭已经开始,Opsboard
roundstage_BuildingAssaultInProgress_2,突袭已经开始,Opsboard
roundstage_HostageRescueSetup_1,防守队正在准备防御,Opsboard
roundstage_HostageRescueSetup_2,防守队正在准备防御,Opsboard
roundstage_HostageRescueInProgress_1,人质救援正在进行中,Opsboard
roundstage_HostageRescueInProgress_2,人质救援正在进行中,Opsboard
gamemessage_notenoughplayersforhostagerescue,目前玩家人数不足以进行人质救援。\r\n游戏模式将暂时切换为攻楼模式,
gamemessage_waitforroundstartattacker,你是攻击方。\r\n等待准备阶段开始,
gamemessage_waitforroundstarthostage,你是人质——你的队伍正在寻找你。\r\n等待准备阶段开始,
gamemessage_waitforroundstartdefender,你是防守方。\r\n等待准备阶段开始,
gamemessage_swapattacking,队伍已交换。\r\n你现在是攻击方,
gamemessage_swapdefending,队伍已交换。\r\n你现在是防守方,
gamemessage_stillattacking,回合已重启。\r\n你仍是攻击方,
gamemessage_stilldefending,回合已重启。\r\n你仍是防守方,
gamemessage_hostagediedorleft,人质玩家死亡或离开了游戏,
gamemessage_hostageleftgame,人质玩家离开了游戏,
gamemessage_hostagerescuebeginsetupattack,对方队伍正在守卫人质。救援并撤离人质,
gamemessage_hostagerescuebeginsetupdefend,你的队伍正在守卫人质。不要让人质逃脱或被夺走,
gamemessage_hostagerescuebeginsetuphostage,你是人质。\r\n试着在防守队不注意时逃脱,
gamemessage_hostagerescuebeginsetupattacksmalltext,对方队伍正在准备防御,
gamemessage_hostagerescuebeginsetupdefendsmalltext,准备你的防御,
gamemessage_hostagerescuebeginsetuphostagesmalltext,你是人质,
gamemessage_hostagerescuebeginattack,去解救人质,
gamemessage_hostagerescuebegindefend,盯住人质，阻止攻击,
gamemessage_hostagerescuebeginhostage,保持安全,
gamemessage_buildingassaultsetupattack,准备突袭建筑物,
gamemessage_buildingassaultsetupdefend,防御对建筑物的进攻,
gamemessage_buildingassaultsetupattacksmalltext,占领建筑物,
gamemessage_buildingassaultsetupdefendsmalltext,防守建筑物,
gamemessage_buildingassaultattack,占领建筑物并消灭所有防守队员!,
gamemessage_buildingassaultdefend,防御建筑物免受进攻!,
gamemessage_movedtoattackteam,你已被调至攻击队以平衡本局游戏!,
gamemessage_movedtodefendteam,你已被调至防守队以平衡本局游戏!,
gamemessage_playermovedoutofyourteam,一个或多个玩家已被调出你的队伍以平衡本局游戏,
gamemessage_playermovedintoyourteam,一个或多个玩家已被调入你的队伍以平衡本局游戏,
gamemessage_preparetoattack,你是攻击方——回合即将开始。,
gamemessage_preparetodefend,你是防守方——回合即将开始。,
gamemessage_youareattackerred,你是红队/攻击方,
gamemessage_youareattackerblue,你是蓝队/攻击方,
gamemessage_youaredefenderred,你是红队/防守方,
gamemessage_youaredefenderblue,你是蓝队/防守方,
gamemessage_laststandactivated,最后一战已开始!,
gamemessage_playersmovedintoteam1,1名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedintoteam2,2名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedintoteam3,3名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedintoteam4,4名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam1,1名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam2,2名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam3,3名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam4,4名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_roundrestarted,回合将在片刻后重启,
gamemessage_cantrestartroundnow,本时间段已经不能重启回合。\r\n请求已忽略,
gamemessage_bluewinsmatch,蓝队赢得了比赛!,
gamemessage_redwinsmatch,红队赢得了比赛!,
gamemessage_matchistie,比赛平局!,
gamemessage_scoresstandby,等待分数结算…,
gamemessage_nextrounddecider,下一回合将决定胜负,
gamemessage_noteamscores,本局未计入队伍分数,
gamemessage_noplayerscores,本局未计入玩家分数,
gamemessage_noscoreforyou,本局未计入你的分数,
gamemessage_kickedcosnotclicked,由于多次未选择插入点，你将被踢出。下次请点击！,
gamemessage_warnedcosnotclicked,"你未能选择插入点。下次请在其他人点击时点击白板",
gamemessage_teamexfil,"你需要至少有一名攻击者陪同才能撤离",
gamemessage_hostageisarmed,"小心！你已武装自己，防守方现在可以杀死你",
missionsetting_autoswap_0,否,
missionsetting_autoswap_1,是,
missionsetting_autoswap,自动交换队伍,
missionsetting_defendersetuptime,防守方准备时间（秒）,Opsboard
missionsetting_capturetime,占领时间（秒）,Opsboard
missionsetting_balanceteams,每回合平衡双方队伍,
missionsetting_balanceteams_0,否,
missionsetting_balanceteams_1,是 (轻微调整),
missionsetting_balanceteams_2,是 (积极调整),
missionsetting_balanceteams_3,是 (始终调整),
missionsetting_forcehostagerescue,指定模式,
missionsetting_forcehostagerescue_0,否,
missionsetting_forcehostagerescue_1,人质救援,
missionsetting_forcehostagerescue_2,建筑突袭,
missionsetting_extractanywhere,随处撤离,
missionsetting_extractanywhere_0,否,
missionsetting_extractanywhere_1,是,
missionsetting_restrictdefenders,限制防守方,
missionsetting_restrictdefenders_0,否,
missionsetting_restrictdefenders_1,是,
missionsetting_restrictnades,限制手榴弹,
missionsetting_restrictnades_0,否,
missionsetting_restrictnades_1,是,
