key,source,target
/634AF7A84C2E432314061F8335F84B5D,"
…and our families for putting up with way too many 12-hour-plus workdays.","
…and our families for putting up with way too many 12-hour-plus workdays."
/85DFA4A54BCA61A32528C895131917F5, + , + 
/28CAA4A9488B51A177747299EF5D69AA, - , - 
/4816F46245764FFD8D85A694C22C6489, AFTER {NumRounds} ROUND{S},在{NumRounds}局之后{S}
/270B97024C4E5D2AD8E08694CD86FA02, Failed to create the pending net game for travel.,创建待定网络（传输游戏内容）失败
/0B3A50E84F26C40BE6E7C9A9331505E1, {hour}:{min}:{sec}, {hour}:{min}:{sec}
/BE129FF3477CDAD37C2CF9B07C1509DA, {hour}:{min}:{sec}, {hour}:{min}:{sec}
/D513896445F95CDF5880CC9074625E33, {hour}:{min}:{sec}, {hour}:{min}:{sec}
/0D0415DA4C1A7B1CDB5EACAAB5358D49, {min} : {sec}, {min} : {sec}
/206CB347443D8F1D8318EFA792449C84, {min}:{sec}, {min}:{sec}
/5AEAD1E6486F57893B4B77903F5A73E5, {min}:{sec}, {min}:{sec}
/4C48B56942D51630700F6494B4E77853,"""My Custom {0}""",'我的自定义{0}'
/7239143348E6DC77EB20D7A4A650E6FF,"""My Custom {0}""",'我的自定义{0}'
/6822CC634A8526BDDA8074BB67710228,"""{0} 2.0""",'{0} 2.0'
/216A0D294F1886761C6C7DB6644B8646,"""{0} Custom""",'{0} 自定义'
/52D1568143E1A512E90E4FB60279A290,"""{0} Custom""",'{0} 自定义'
/0307E20F48FA9B6EF867078F429514EF,"""{PatchName}"" by {Author}",'{PatchName}'' 由 {Author} 制作
/7683D4964BF0F34CD38DB3BB11EFBD7D,"""{PatchName}"" by {Author}",'{PatchName}'' 由 {Author} 制作
/FEC4438E49AE09C9680C7184EE698F64,#,#
/262465014101C11B9443A1858A44460A,%,%
/6A305D264212D1890D4E9C88E3BCA57C,%,%
/B90A46BF442C9B5E08944A88347C16CC,%,%
/EFCAEB3045E0973189F349B53D4CC377,%,%
/4B5B7F98405EFB32411177947A5A74B8,'s IR LASER function,的红外/激光功能
/6224902D49F0DEDABE752487504633FB,( EMPTY ),(空)
/38F13CD44BE0DB7E3D496FA74CE75F2C,(Below horizon),(地平线下)
/33BA10974E05C580A645F8AAEF3972D1,"(Name=,Material=None,Icon=None)","(Name=,Material=None,Icon=None)"
/897D65164CEA5C0504FDD3AA0087581B,(Selection of missions is restricted by server settings),(选定的任务根据服务器规则已禁用)
/F9810C7C4A58B6CEB45E57AD6083FFF9,(UNSET),(未设置)
/61DC79934D4679D66C5999BED48FFA04,(YOUR TEAM),(你的阵营)
/C3FCFD7B4936CA6EDEEEBCABBAF16596,(YOUR TEAM),(你的阵营)
/DA69DF4445DC2B048A8EDBAAA18A990F,(YOUR TEAM),(你的阵营)
/AA583E9C491E1732E03F7EABF8A86FFB,(below horizon),(地平线以下)
/69FC3EB14A06B0D7F9DD559498EA5AD3,(no scores awarded),(没有奖励分数)
/F20CED004ACC5D4CCBB4D6BAB3583131,(no scores awarded),(没有奖励分数)
/7B0088DE4C237F8116F898B3358E408C,({TeamName}),({TeamName})
/66AE4AFE4FDF20135DE0F684BFE824FE,*website*,*website*
/0E4BE8AD445E89F7E5331EAACF845C3E,+,+
/0F7E8D6D421705F3BD37FC9EE47F93CB,+,+
/15E0F6AD43385239BBF59285D4C4CD23,+,+
/2A84BD404305D868ED32A9876DC15795,+,+
/3B8A7E294A0936DF89268EA271996B1D,+,+
/64C2C54F4275328AA757ABBFA82531F9,+,+
/6F2D620A476D2889DD12449862D592EB,+,+
/BC2E3E9F41046BAAAE5215AE0DDE52DB,+,+
/C62CDE0C4537DE3E9A8F5E9736E997DC,+,+
/C715B56A42463FB0F53A779F446D310A,+,+
/CC2044AC4880534E2E851781559A37ED,+,+
/EAB0BE7844AF24F5B187B289509B9BE5,+,+
/F4813CD0404E1E54710FCC9EE9668F2C,+,+
/B20C928A4F440016C39768ABE1C1A925,+4,+4
/F259F05444D96E5BF78EA68A188E8B0B,+Att1 +Att2 +Att3,+Att1 +Att2 +Att3
/48DF663F4D553E7AC1B7FD80775E7081,+{MapName},+{MapName}
/237F47844E55D764AD5A44A31EF596CB,-,-
/5AC622FA47728E87E5A83DA156EFF2D3,-,-
/C9B68E094D46E521BA3A1FAC200577A8,-- : --,-- : --
/ED7F443B4CB73F1DA114E58CF1CD41C7,-- : --,-- : --
/40D7F6824D95F961EEF0E5B040D6831C,---,---
/4241444C4938859F6642419841C9E48C,---,---
/665586894EA484A0F6AAE18F858EF9A9,---,---
/6A9531264C5DE084F3918AA5D1317C2F,---,---
/7138A6BD42FF70363C760183F904123A,---,---
/74C07F8945E01A35C763C7A93945D2D4,---,---
/7937B623455B4DAC1CB59CB611E88D60,---,---
/BD2680894E59845A4EAC3D9E00EBA71D,---,---
/D7870E664BD1A543086EADB40A7A94C8,---,---
/57C697A4416DBED7BB1F60ABEF92B627,.,.
/9FC4830D412FF559A3FD07A34E95906E,.025,.025
/E0DCC96841911EB2CA87D4815B39E7E9,.45 ACP,.45 ACP
/440B46664FFFC0E21BE452A40AC9862B,.45 ACP Suppressor,.45 ACP消音器
/9806BB514FEA1B2D230321913E8699E7,.45 ACP Suppressor,.45 ACP消音器
/347BED7C45D9AAD2B4C6588FDBBE43A7,.75,.75
/92089F6E409CD2EB6133A8851E1D4B3E,.8,.8
/04EABAF94B7B2D8C9E218CB58E5A478E,/,/
/81FA6CC04D3857DE7DC8C49E455C742B,/{ModID}/{FileName},/{ModID}/{FileName}
/052346FB41E8036826F9B09B5A549703,0,0
